null30:072025-03-29
null30:022025-03-29
OHII	59:58	2025-03-29
OHII	30:00	2025-03-29
Kurssin nimi	30:00	2025-03-29
Kurssin nimi	30:00	2025-03-29
OHII	29:57	2025-03-29
OHII	30:03	2025-03-29
OHII	35:02	2025-03-29
OHII	65:00	2025-03-29
OHII	29:59	2025-03-29
OHII	00:01	2025-03-29
OHII	00:08	2025-03-30
OHII	00:10	2025-03-30
OHII	00:24	2025-03-30
OHII	00:15	2025-03-30
OHII	00:15	2025-03-30
OHII	00:08	2025-03-30
OHII	00:07	2025-03-30
OHII	00:11	2025-03-30
OHII	00:10	2025-03-30
DAN	00:20	2025-03-30
ADY	00:10	2025-03-30
ADY	00:30	2025-03-30
DAN	00:20	2025-03-30
DAN	00:20	2025-03-30
DAN	00:20	2025-03-30
ADY	00:26	2025-03-30
ADY	00:26	2025-03-30
OHII	00:22	2025-03-30
OHII	00:21	2025-03-30
OHII	00:28	2025-03-30
DAN	00:30	2025-03-30
ADY	00:30	2025-03-30
OHII	00:13	2025-03-30
ADY	00:30	2025-03-30
ADY	00:28	2025-03-30
DAN	00:28	2025-03-30
OHII	00:28	2025-03-30
OHII	00:28	2025-03-30
OHII	00:50	2025-03-30
OHII	00:50	2025-03-30
OHII	00:45	2025-03-30
ADY	01:10	2025-03-30
OHII	00:34	2025-03-30
OHII	00:40	2025-03-30
OHII	00:32	2025-03-30
OHII	00:30	2025-03-30
OHII	00:30	2025-03-30
OHII	01:00	2025-03-30
KOF	01:00	2025-03-31
OHII	01:00	2025-03-31
ADY	01:00	2025-03-31
